transformed_content,category
thyme date tue 19 sep 2000 pdt cbpre subject 7bit phillip k allen cbpre mail georg sale number reagan see unit sold varieti price per squar foot model seem data look similiar unit sell mm bid higher unit construct hard time justifi pay much competit way price bid higher deal actual done date let know think follow email phone call cherri creek sure deborah yate let know bid reject de vill properti phillip allen,Business Documents
thyme date tue 12 sep 2000 pdt stagecoachmama subject 7bit phillip k allen stagecoachmama mail luci wrote fewer check month spent money materi less labor june juli august total materi 2929 4085 4801 servic 53 581 464 labor 3187 3428 2770 question august bank statement attach check 1406 walmart descript unit check 1410 crump detail descript unit check 1411 luci check 1415 pape detail descript unit check 1416 1417 1425 overtim check 1428 ralph unit check 1438 walmart descript unit tri pull togeth support item get back phillip,Business Documents
thyme date wed 2 may 2001 pdt subject survey phillip allen 7bit phillip k allen tori kuykendal tori ect phillip mail pallen forward phillip k ina rangel pm phillip k ect cc subject survey phillip allen full name phillip allen login id pallen extens offic locat eb3210c type comput desktop laptop pda ye type none ipaq palm pilot jornada ipaq permiss access anyon ye anyon permiss access ye ye ina rangel respons updat anyon els address book ye anyon els respons updat address book ye access share calendar ye share calendar ye west calendar distribut group messag maintain mass mail ye pleas list pleas list note databas applic current use none effort plan exact migrat also need know normal work hour pm offic near futur vacat leav etc embed stdolelink,Business Documents
thyme date mon 11 sep 2000 pdt subject westgat 7bit phillip k allen keith holst mail forward phillip k pm georg richard cbpre pleas respond cbpre phillip allen pallen cc larri lewter retwel subject westgat enclos preliminari proforma westgat properti austin told tell proforma project produc truli except return 40 per year 3 year especi attract project market strong austin introduc new product low price rang market best project term risk reward uncov date austin market project approv zone requir site plan smart growth corridor area design citi austin prefer develop fast track complet less 6 month addit mani current sever water treatment ordin waiv estim lot improv cost base 28 lot develop investig north austin includ filtrat pond street widen even though properti like requir street widen less filtrat pond requir use data cautiou lone star ga line easement lower portion properti expect impact sale significantli project quit success ident relationship pipelin adjoin singl famili residenti project edward univers infil project qualiti surround neighborhood uneven includ fenc around entir properti may put westgat cameron loop gate commun far prefer good idea screen current buyer prefer seller accept offer thursday even price extend escrow enabl us probabl obtain approv site plan close contract mean close loan rather land loan improv loan analysi show invest 50 interest profit project discuss san marco also discuss invest lot sell lot construct entiti profit lot believ would facilit use 1031 exchang proce deal anoth project rental deal least land rental project would equiti project would need discuss exchang expert first larri lewter know expert field san antonio know anyon send packag properti prepar broker airborn express today saturday deliveri read packag review proforma would want schedul tour site area pleas get back soon schedul permit regard site visit feel free call time reach weekend even either cell phone fax look forward hear work project sure major winner regret took long get back unusu event past week small freakish wind storm sever downdraft hit south part austin build 10 town home one unit roof deck side schedul start next day sever downdraft hit deck roof enough knock citi shut project week took anoth week get everi thing back tract last week take wife emerg bulg materi vertebra spine caus extrem pain kept bedridden past week noth like wife incapacit realiz enorm number thing everyday fortun look ok long run georg richard creeksid builder llc westgat,Business Documents
thyme date fri 8 sep 2000 pdt pallen70 subject sagewood town home 7bit phillip k allen pallen70 mail forward phillip k pm georg richard cbpre pleas respond cbpre phillip allen pallen cc larri lewter retwel diana zuniga invest subject sagewood town home awar regan lehman lot develop entir 70 lot duplex project sell unit 180 much lower basi lot anyon els prime differ due sell construct b smaller unit know exact size unit believ one duplex sq plan would produc averag sq footag 1233 would psf thought sale price price psf sf unit would sell import view rental rate b current rental cost data evalu believ shown bath strongli prefer market fact abl purchas addit lot regan would build 4 bedroom unit along plan phillip call today go thoroughli sincer georg richard creeksid builder llc,Business Documents
thyme date fri 8 sep 2000 pdt pallen70 subject westgat 7bit phillip k allen pallen70 mail forward phillip k pm georg richard cbpre pleas respond cbpre phillip allen pallen cc larri lewter retwel subject westgat enclos preliminari proforma westgat properti austin told tell proforma project produc truli except return 40 per year 3 year especi attract project market strong austin introduc new product low price rang market best project term risk reward uncov date austin market project approv zone requir site plan smart growth corridor area design citi austin prefer develop fast track complet less 6 month addit mani current sever water treatment ordin waiv estim lot improv cost base 28 lot develop investig north austin includ filtrat pond street widen even though properti like requir street widen less filtrat pond requir use data cautiou lone star ga line easement lower portion properti expect impact sale significantli project quit success ident relationship pipelin adjoin singl famili residenti project edward univers infil project qualiti surround neighborhood uneven includ fenc around entir properti may put westgat cameron loop gate commun far prefer good idea screen current buyer prefer seller accept offer thursday even price extend escrow enabl us probabl obtain approv site plan close contract mean close loan rather land loan improv loan analysi show invest 50 interest profit project discuss san marco also discuss invest lot sell lot construct entiti profit lot believ would facilit use 1031 exchang proce deal anoth project rental deal least land rental project would equiti project would need discuss exchang expert first larri lewter know expert field san antonio know anyon send packag properti prepar broker airborn express today saturday deliveri read packag review proforma would want schedul tour site area pleas get back soon schedul permit regard site visit feel free call time reach weekend even either cell phone fax look forward hear work project sure major winner regret took long get back unusu event past week small freakish wind storm sever downdraft hit south part austin build 10 town home one unit roof deck side schedul start next day sever downdraft hit deck roof enough knock citi shut project week took anoth week get everi thing back tract last week take wife emerg bulg materi vertebra spine caus extrem pain kept bedridden past week noth like wife incapacit realiz enorm number thing everyday fortun look ok long run georg richard creeksid builder llc westgat,Business Documents
thyme date wed 6 sep 2000 pdt subject time sensit execut impact influenc program survey 7bit phillip k allen ina rangel mail forward phillip k pm pallen cc subject time sensit execut impact influenc program survey execut impact influenc program immedi action requir delet part execut impact influenc program particip ask gather input particip manag style practic experienc immedi manag direct report eight request provid feedback particip attend next program input self assess manag assess direct report assess assess combin input other use program particip develop action plan improv manag style practic import complet assess later close busi thursday septemb sinc feedback import part program particip ask cancel attend enough feedback receiv therefor feedback critic complet assess pleas click follow link simpli open internet browser go http uniqu id particip ask rate uniqu id particip evh3ji john arnold er93fx john lavorato epexwx hunter shive experi technic problem pleas call denni ward fsd data servic question process may contact debbi nowak enron christi smith keilti goldsmith compani thank particip,Business Documents
thyme date wed 6 sep 2000 pdt retwel subject 7bit phillip k allen retwel mail larri note touch base sagewood townhom develop opportun stumbl across duplex sale street built reagan lehmann 22 unit sold around 2 million spoke reagan indic unit construct would avail 180 unit sell significantli differ mention unit 1308 floor plan bid million almost far investor new project still interest call email thought phillip,Business Documents
thyme date tue 1 may 2001 pdt subject owa pleas print phillip k allen ina rangel ina ect phillip mail pallen forward phillip k pm outlook migrat team enron pm enron amir enron brandon enron brian enron charl enron chri p enron chri ect dale enron dave enron donald n felicia enron johnna joe enron kathryn enron leon enron leticia enron milton enron raj enron shekar enron andrea enron angi enron bonn enron gwynn enron jo ann enron laquitta enron rick enron sandra enron valeria ect charlott enron ronald ron enron gari enron anna enron keith enron kristi enron bobbi enron john enron michel enron jame enron blair enron nifer commun enron commun jim enronxg dale enron donald ron andrew enron darvin enron mark enron wesley enron ramon lopment natali enron william ron enron mark enron joseph gari enron delaney enron david enron mike enron lyndel ron enron gabriel enron randi enron arthur enron danni enron john eott edgar enron traci enron lanc enron frank ect ane ect jay ect keith matthew ect mike ect moniqu ect phillip k ect randal l ect tori ect brenda h ect jeann enron mari theresa ect mike enron tali ect suzann enron alvin enron cynthia enron jess ect joan ee joe ect kelli enronxg lia enron meredith ect ect scott enron shanna enronxg steve enron tamara enron traci enron gabriel commun enron icat jack commun enron commun lam enron camil enron craig ect jessica mgusa kathi mgusa lisa mgusa ruth mgusa sid cc subject owa pleas print current note user reason use outlook web access owa mailbox migrat note outlook outlook lient configur comput migrat mailbox abl send reciev il via note abl start use outlook onfigur outlook migrat team morn mailbox igrat period use outlook web access owa via web browser internet explor read send mail pleas note calendar entri person address book journal entri import note avail outlook ient configur desktop remot access mailbox outlook client configur use outlook web access remot access mailbox pleas note time owa client access ing enron network lan futur plan make owa le home travel abroad access outlook web access owa launch internet explor address window type http substitut first last name click enter prompt sign box shown type er id user name nt password logon owa click abl view mailbox pleas note subtl differ function n outlook owa client abl mani gs owa outlook brief list function avail via owa featur avail use owa task journal spell checker offlin use print templat remind time deliveri expir outlook rule vote messag flag messag recal share contact other task deleg direct resourc book person distribut list question concern question concern use owa client pleas contact outlook 2000 question answer mailbox otherwis may contact resolut center thank outlook 2000 migrat team,Business Documents
thyme date wed 6 sep 2000 pdt subject wow 7bit phillip k allen thoma martin mike grigsbi keith holst jay reitmey frank ermi mail forward phillip k jeff richter phillip k ect cc subject wow forward jeff mike ect robert ect sean ect tim ect jeff ect john ect matt ect tom ect mark ect cc subject wow forward tim enron capit trade resourc kevin presto pm tim ect cc roger ect john ect lloyd ect doug enron mike ect subject wow underestim effect internet economi load growth preach tremend growth describ last year util infrastructur simpli handl load distribut level ultimatley distribut gener requir power qualiti reason citi austin tx experienc mw load growth year due server farm technolog compani 100 mw server farm tri hook hl p speak deliv 12 month due distribut infrastructur issu obvious seattl porltand bois denver san fran san jose market rude awaken next year forward kevin pm enron north america john suarez pm kevin ect mark dana ect paul j ect jeffrey enron cc subject forward john pm georg hopley john ect suresh commun enron commun enron cc subject internet data gain major power drain local util septemb 05 2000 1997 silicon valley compani call exodu commun open data center tukwila mission handl internet traffic comput server region grow number summer exodu wrap construct new data center less mile origin facil sit confluenc sever fiber optic backbon exodu plant consum enough power small town eventu hous internet server firm avenu microsoft exodu compani build massiv data center near seattl dozen compani name like abovenet globix hostpro look facil hous network equip internet economi big busi could effect everyth monthli electr bill eas access favorit web site data center also known facil server farm sprout furiou pace tukwila kent valley express concern whether seattl citi light puget sound energi handl power necessari run facil talk half dozen custom request 445 megawatt power littl area near southcent mall said karl karzmar manag revenu requir puget sound energi equival six oil refineri rel new phenomenon util busi rise internet data center util veteran scratch head puget sound energi last week ask washington util transport commiss accept tariff new data center tariff design protect compani exist residenti busi custom foot bill new base station necessari support project base station could cost much 20 million karzmar said left behind seattl citi light plan bring data center issu thursday seattl citi council meet util provid power home busi school region new complex issu one hand data center amaz appetit power repres potenti lucr busi custom facil run 24 hour day seven day week therefor could becom constant revenu stream hand requir much energi could potenti flood util exorbit capit expenditur pay expenditur mean power rate area still open debat facil call extrem dens load said bob royer director commun public affair seattl citi light entir univers washington stadium light footbal game medic school averag 31 megawatt per day data center project front us ask 30 40 50 megawatt million squar feet interg complex tukwila one biggest data center sabey million interg east facil last septemb boe space defens less 12 month develop leas 92 percent complex seven differ compani probabl largest data center park countri boast laurent pool chief oper offic sabey exodu icg commun netstream commun pac west telecomm zama network leas space offic park build exodu first tukwila facil 1997 sabey becom expert arena facil either manag develop lo angel spokan denver pool claim firm one top four builder internet data center countri peopl access internet conduct task listen onlin music pool said need space seattl continu escal seattl need data center space grow rapid clip mani technolog hub throughout countri caus similar concern among util place texa california exodu one largest provid space plan nearli doubl amount space end year compani run server farm mani compani decid outsourc oper compani exodu may better prepar deal internet traffic manag 2 million squar feet space construct plan doubl size next nine month yet demand right data center space said steve porter account execut exodu seattl boom market space left local util industri perplex acceler quantum way serv growth said seattl citi light royer util industri almost stun way,Business Documents
thyme date tue 5 sep 2000 pdt subject receipt team select form execut impact influenc program 7bit phillip k allen ina rangel mail forward phillip k pm christi smith pleas respond cc debbi nowak dnowak subject receipt team select form execut impact influenc program receiv complet team select inform imper receiv team inform email phone number offic asap start administr without inform rater less time provid feedback thank assist christi messag christi smith mailto sent thursday august 31 2000 cc debbi nowak deborah evan subject receipt team select form execut impact influenc program import high hi phillip appreci prompt attent complet team select inform ideal need receiv team rater team select form sent inform need easili transfer databas directli excel spreadsheet abil complet form insert list still requir addit inform need person email address without email address email internet link id provid feedback send automat remind via email would also good person phone number event need reach need receiv complet ts excel spreadsheet need instead provid need inform via email thank assist phillip christi smith project manag client servic keilti goldsmith compani messag phillip k allen mailto sent thursday august 31 2000 pm debe subject john mike keith frank steve jani scott hunter tom john,Business Documents
thyme date thu 31 aug 2000 pdt subject receipt team select form execut impact influenc program 7bit phillip k allen ina rangel mail forward phillip k pm christi smith pleas respond cc debbi nowak dnowak deborah evan debe subject receipt team select form execut impact influenc program hi phillip appreci prompt attent complet team select inform ideal need receiv team rater team select form sent inform need easili transfer databas directli excel spreadsheet abil complet form insert list still requir addit inform need person email address without email address email internet link id provid feedback send automat remind via email would also good person phone number event need reach need receiv complet ts excel spreadsheet need instead provid need inform via email thank assist phillip christi smith project manag client servic keilti goldsmith compani messag phillip k allen mailto sent thursday august 31 2000 pm debe subject john mike keith frank steve jani scott hunter tom john,Business Documents
thyme date tue 1 may 2001 pdt subject email phillip k allen ina rangel ina ect phillip mail pallen forward phillip k pm outlook migrat team enron pm enron amir enron brandon enron brian enron charl enron chri p enron chri ect dale enron dave enron donald n felicia enron johnna joe enron kathryn enron leon enron leticia enron milton enron raj enron shekar enron andrea enron angi enron bonn enron gwynn enron jo ann enron laquitta enron rick enron sandra enron valeria ect charlott enron ronald ron enron gari enron anna enron keith enron kristi enron bobbi enron john enron michel enron jame enron blair enron nifer commun enron commun jim enronxg dale enron donald ron andrew enron darvin enron mark enron wesley enron ramon lopment natali enron william ron enron mark enron joseph gari enron delaney enron david enron mike enron lyndel ron enron gabriel enron randi enron arthur enron danni enron john eott edgar enron traci enron lanc enron frank ect ane ect jay ect keith matthew ect mike ect moniqu ect phillip k ect randal l ect tori ect brenda h ect jeann enron mari theresa ect mike enron tali ect suzann enron alvin enron cynthia enron jess ect joan ee joe ect kelli enronxg lia enron meredith ect ect scott enron shanna enronxg steve enron tamara enron traci enron gabriel commun enron icat jack commun enron commun lam enron camil enron craig ect jessica mgusa kathi mgusa lisa mgusa ruth mgusa sid cc subject email current note user ensur experi success migrat note outlook necessari gather individu user inform prior date f migrat pleas take minut complet fill g survey finish simpli click button hit nd survey automat sent outlook 2000 migrat ailbox thank outlook 2000 migrat team full name login id extens offic locat type comput desktop laptop pda ye type none ipaq palm jornada permiss access anyon ye anyon permiss access ye respons updat anyon els address book ye anyon els respons updat address book ye access share calendar ye share calendar distribut group messag maintain ass mail ye pleas list pleas list note databas applic current use effort plan exact migrat also need know normal work hour offic near futur vacat leav etc,Business Documents
thyme date mon 28 aug 2000 pdt subject new gener 7bit phillip k allen matthew lenhart mike grigsbi keith holst frank ermi jay reitmey mail forward phillip k pm kristian j land pm christoph f ect jake ect frank w ect elliot ect michael ect david ect laird ect jim ect jim ect terri w ect jeff g ed ect cc tim ect robert ect matt ect phillip k ect subject new gener sorri report august 24 2000,Business Documents
thyme date mon 28 aug 2000 pdt mark subject 7bit phillip k allen mark mail mark follow guest password allow temporari view access enrononlin pleas note user id password case sensit guest user id gna45925 guest password yj53ku42 log instal shockwav use instruct set composit page western basi cash price help filter product titl composit page mark page problem log call 713 kathi moor enrononlin helpdesk 4357 shockwav instal found within enrononlin home page open enrononlin use right scroll bar go bottom click download shockwav follow direct load shockwav shut reopen browser microsoft internet hope find site use sincer phillip allen,Business Documents
thyme date mon 28 aug 2000 pdt mark subject 7bit phillip k allen mark mail mark attach spreadsheet list end day midmarket socal basi juan spread list day bidweek reflect financi trade socal index actual ga daili print bidweek follow observ made juli basi market anticip juan spread vs actual perceiv index vs actual socal ga daili swap trade signific premium basi market anticip juan spread vs actual perceiv index vs actual ga daili spread much wider bidweek monthli post socal ga daili swap trade signific premium enron onlin allow monitor valu financi swap index well spread locat pleas call question phillip,Business Documents
